document_identifier,context,question,document_text
coxartrose1,coxartrose,O que é a Coxartrose (artrose da anca)?,É o desgaste da cartilagem articular da bacia e da cabeça do fémur que provoca uma remodelação do osso subcondral e a formação de osteófitos.
coxartrose2,coxartrose,Quais os sintomas?,"O sintoma que surge em primeiro lugar é a dor que se localiza normalmente na virilha, mas também pode localizar-se na coxa, nádega, região lateral da anca e até mesmo no joelho.
Com o desenvolvimento da doença pode surgir rigidez articular que se manifesta pela dificuldade no agachamento, no calçar os sapatos ou meias e na alteração da marcha."
coxartrose3,coxartrose,Como se faz o diagnóstico?,É possível fazer o diagnóstico através de exame médico e de uma radiografia.
coxartrose4,coxartrose,Qual o tratamento?,"O tratamento será sempre decidido pelo seu médico.
Numa fase inicial o tratamento não é cirúrgico, a pessoa deve evitar esforços e exercícios com carga nos membros inferiores.
É importante manter a mobilização da articulação e o fortalecimento muscular.
Pode ser necessário controlar a dor com medicação de acordo com indicação médica.
Nesta situação é muito importante o controle do peso, caso haja necesidade deve fazer dieta. 
Nas situações mais avançadas é necessário recorrer à cirurgia de aplicação de Prótese total da anca."
coxartrose5,coxartrose,Como posso preparar e manter o fortalecimento muscular?,"Aprender a praticar alguns exercícios para fortalecimento muscular, facilita o seu período pós-operatório e o programa de reabilitação com o fisioterapeuta.
Aprender a andar com canadianas antes de ser operado facilita o seu período pós-operatório e o programa de reabilitação.
Em caso de dúvida aconselhe-se com o seu médico ortopedista nas consultas de pré operatório."
coxartrose6,coxartrose,O que é uma Prótese Total da Anca?,A prótese total da anca é constituída por duas partes: uma que encaixa na cavidade da bacia e outra que vai substituir a extremidade do fémur.
coxartrose7,coxartrose,Que cuidados devo ter com Prótese da Anca?,"É fundamental respeitar sempre estes cuidados básicos:
Não rodar a perna operada para dentro ou para fora;
Não rodar demasiado os pés para dentro ou para fora;
Não apoiar todo o peso do corpo na perna operada;
Não se sentar em cadeiras ou sofás baixos;
Não elevar o joelho acima da anca enquanto estiver sentado ou a sentar-se;
Não dobrar o joelho da perna operada a mais do que 90º;
Não se inclinar para a frente;
Não apanhar objetos do chão;
Não puxar os lençóis ou cobertores dos pés da cama enquanto estiver deitado;
Não deitar sobre o lado operado;
Não cruzar as pernas;
Não usar a dor como referência do que pode ou não fazer;
Não administrar injetáveis no lado operado;
Evitar o excesso de peso;
Não compensar, sem ordem do médico, uma eventual desigualdade de comprimento das pernas."
coxartrose8,coxartrose,O que posso fazer tendo Prótese da Anca?,"É fundamental respeitar sempre estes cuidados básicos:
Não rodar a perna operada para dentro ou para fora;
Não rodar demasiado os pés para dentro ou para fora;
Não apoiar todo o peso do corpo na perna operada;
Não se sentar em cadeiras ou sofás baixos;
Não elevar o joelho acima da anca enquanto estiver sentado ou a sentar-se;
Não dobrar o joelho da perna operada a mais do que 90º;
Não se inclinar para a frente;
Não apanhar objetos do chão;
Não puxar os lençóis ou cobertores dos pés da cama enquanto estiver deitado;
Não deitar sobre o lado operado;
Não cruzar as pernas;
Não usar a dor como referência do que pode ou não fazer;
Não administrar injetáveis no lado operado;
Evitar o excesso de peso;
Não compensar, sem ordem do médico, uma eventual desigualdade de comprimento das pernas."
coxartrose9,coxartrose,Como levantar-me da cama?,"A cama deve ser alta para facilitar o movimento.
Pelo lado bom, deitado de costas, com os joelhos ligeiramente flectidos (não mais do que 30º), tendo sempre uma almofada entre os joelhos, rodar em bloco para o lado são, deslocando-se para a beira da cama. Faz carga no cotovelo que fica junto ao colchão para ajudar a iniciar o levante para a posição de sentado, ao mesmo tempo que põe as pernas para fora da cama. Apoiar a perna boa no chão e levantar o corpo, mantendo a perna operada esticada."
coxartrose10,coxartrose,Como sentar-me na cama?,"Deitar pelo lado bom, mantendo a perna operada em extensão, encosta as nádegas à beira da cama e senta-se. Com apoio dos braços chega-se mais para dentro da cama. Levar primeiro a perna boa para o meio da cama e depois com ajuda das mãos, levar a perna operada, mantendo-a esticada.
Deitar pelo lado operado, após se sentar na cama, deve rodar o corpo e colocar o membro operado na cama em extensão. Com apoio do braço e da perna sã deverá chegar-se mais para dentro da cama e colocar a perna sã no leito.
Quando deitado, não deve fazer a flexão do joelho da perna operada mais do que 30º.
Durante os 6 meses após a intervenção o doente deverá manter almofada entre os joelhos e evitar dormir sobre a perna operada."
