document_identifier,question
coluna1,Quais os cuidados a ter com a utilização do colete?
coluna11,Este colete é vitalício ou temporário?
coluna2,O que pode ser feito para precaver?
coluna2,Quais foram os problemas antecederam desta condição?
coluna3,"Após usar o colete, que cuidados devo ter?"
coluna3,Quais as causas?
coluna3,Por quanto tempo tenho que usar o colete?
coluna3,Quanto tempo terei que o manter?
coluna3,Quais são os cuidados?
coluna3,Durante quanto tempo tenho que o usar?
coluna3,Existem outras opções de tratamento?
coluna4,Não vou poder baixar-me de forma alguma?
coluna4,Com o uso daquele Colete o paciente poderá exercer actividade física?
coluna4,Em que momento posso retirar o colete?
coluna4,Vou ter que usar o colete 24 horas por dia?
coluna4,Vai ser incomodo para dormir?
coluna4,Qual o período que iria ter de recorrer à utilização do colete?
coluna4,Quanto tempo terei de andar com o colete?
coluna4,Posso deslocar-me normalmente a pé?
coluna4,Não vou poder baixar-me de forma alguma?
coluna6,Vou ter que usar colete quanto tempo?
coluna6,Quanto tempo?
coluna9,Quais os principais cuidados que o paciente deve ter com o uso daquele colete?
